phase,domain,family,library_class,condition,bug_id,detected,parsed
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B26,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B26,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B27,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B27,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B28,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B28,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B29,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B29,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B30,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B30,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B01,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B01,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B02,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B02,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B03,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B03,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B04,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B04,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B05,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B05,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B06,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B06,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B07,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B07,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B08,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B08,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B09,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B09,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B10,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B10,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B11,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B11,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B12,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B12,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B13,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B13,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B14,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B14,0,1
